0.000000 1.000000
0.073940 1.066347
0.147879 1.131714
0.221819 1.196101
0.295758 1.259508
0.369698 1.321935
0.443638 1.383382
0.517577 1.443849
0.591517 1.503337
0.665457 1.561844
0.739396 1.619371
0.813336 1.675918
0.887275 1.731485
0.961215 1.786072
1.035155 1.839679
1.109094 1.892306
1.183034 1.943953
1.256973 1.994620
1.330913 2.044307
1.404853 2.093014
1.478792 2.140741
1.552732 2.187488
1.626671 2.233255
1.700611 2.278043
1.774551 2.321850
1.848490 2.364677
1.922430 2.406524
1.996370 2.447391
2.070309 2.487278
2.144249 2.526185
2.218188 2.564112
2.292128 2.601059
2.366068 2.637026
2.440007 2.672013
2.513947 2.706020
2.587886 2.739047
2.661826 2.771094
2.735766 2.802161
2.809705 2.832248
2.883645 2.861356
2.957584 2.889483
3.031524 2.916630
3.105464 2.942797
3.179403 2.967984
3.253343 2.992191
3.327283 3.015418
3.401222 3.037665
3.475162 3.058932
3.549101 3.079219
3.623041 3.098526
3.696981 3.116853
3.770920 3.134200
3.844860 3.150567
3.918799 3.165954
3.992739 3.180362
4.066679 3.193789
4.140618 3.206236
4.214558 3.217703
4.288498 3.228190
4.362437 3.237697
4.436377 3.246224
4.510316 3.253771
4.584256 3.260338
4.658196 3.265925
4.732135 3.270532
4.806075 3.274159
4.880014 3.276806
4.953954 3.278473
5.027894 3.279160
5.101833 3.278868
5.175773 3.277595
5.249712 3.275342
5.323652 3.272109
5.397592 3.267896
5.471531 3.262703
5.545471 3.256530
5.619411 3.249377
5.693350 3.241244
5.767290 3.232131
5.841229 3.222038
5.915169 3.210965
5.989109 3.198912
6.063048 3.185879
6.136988 3.171866
6.210927 3.156873
6.284867 3.140901
6.358807 3.123948
6.432746 3.106015
6.506686 3.087102
6.580626 3.067209
6.654565 3.046336
6.728505 3.024483
6.802444 3.001650
6.876384 2.977837
6.950324 2.953044
7.024263 2.927271
7.098203 2.900518
7.172142 2.872785
7.246082 2.844072
7.320022 2.814379
7.393961 2.783707
7.467901 2.752054
7.541840 2.719421
7.615780 2.685808
7.689720 2.651215
7.763659 2.615642
7.837599 2.579089
7.911539 2.541556
7.985478 2.503043
8.059418 2.463550
8.133357 2.423077
8.207297 2.381624
8.281237 2.339191
8.355176 2.295778
8.429116 2.251385
8.503055 2.206013
8.576995 2.159660
8.650935 2.112327
8.724874 2.064014
8.798814 2.014721
8.872753 1.964448
8.946693 1.913195
9.020633 1.860962
9.094572 1.807749
9.168512 1.753556
9.242452 1.698383
9.316391 1.642230
9.390331 1.585097
9.464270 1.526984
9.538210 1.467891
9.612150 1.407818
9.686089 1.346766
9.760029 1.284733
9.833968 1.221720
9.907908 1.157727
9.981848 1.092754
10.055787 1.026801
10.129727 0.959868
10.203667 0.891955
10.277606 0.823062
10.351546 0.753189
10.425485 0.682336
10.499425 0.610503
10.573365 0.537690
10.647304 0.463897
10.721244 0.389124
10.795183 0.313372
10.869123 0.236639
10.943063 0.158926
11.017002 0.080233
11.090942 0.000560
