2.002962 -0.068453 -1.016431 -0.965773 -0.009967 -0.666667
1.951797 -0.153222 -1.005848 -0.923389 -0.019967 -0.666667
1.847514 -0.251822 -0.968707 -0.874089 -0.029967 -0.666667
1.692653 -0.361598 -0.906276 -0.819201 -0.039967 -0.666667
1.491116 -0.479593 -0.820508 -0.760204 -0.049967 -0.666667
1.248064 -0.602627 -0.713982 -0.698687 -0.059967 -0.666667
0.969774 -0.727386 -0.589837 -0.636307 -0.069967 -0.666667
0.663475 -0.850509 -0.451687 -0.574745 -0.079967 -0.666667
0.337148 -0.968680 -0.303524 -0.515660 -0.089967 -0.666667
-0.000686 -1.078715 -0.149607 -0.460643 -0.099967 -0.666667
-0.341194 -1.177649 0.005647 -0.411175 -0.109967 -0.666667
-0.675473 -1.262819 0.157787 -0.368591 -0.119967 -0.666667
-0.994787 -1.331928 0.302444 -0.334036 -0.129967 -0.666667
-1.290803 -1.383115 0.435452 -0.308442 -0.139967 -0.666667
-1.555817 -1.415002 0.552958 -0.292499 -0.149967 -0.666667
-1.782958 -1.426729 0.651529 -0.286635 -0.159967 -0.666667
-1.966377 -1.417981 0.728238 -0.291010 -0.169967 -0.666667
-2.101401 -1.388992 0.780751 -0.305504 -0.179967 -0.666667
-2.184664 -1.340545 0.807382 -0.329727 -0.189967 -0.666667
-2.214191 -1.273944 0.807145 -0.363028 -0.199967 -0.666667
-2.189456 -1.190984 0.779778 -0.404508 -0.209967 -0.666667
-2.111395 -1.093898 0.725747 -0.453051 -0.219967 -0.666667
-1.982380 -0.985303 0.646240 -0.507348 -0.229967 -0.666667
-1.806156 -0.868125 0.543128 -0.565938 -0.239967 -0.666667
-1.587740 -0.745519 0.418920 -0.627240 -0.249967 -0.666667
-1.333286 -0.620789 0.276693 -0.689605 -0.259967 -0.666667
-1.049917 -0.497295 0.120009 -0.751352 -0.269967 -0.666667
-0.745537 -0.378364 -0.047181 -0.810818 -0.279967 -0.666667
-0.428615 -0.267199 -0.220643 -0.866400 -0.289967 -0.666667
-0.107957 -0.166796 -0.395971 -0.916602 -0.299967 -0.666667
0.207528 -0.079859 -0.568714 -0.960071 -0.309967 -0.666667
